file,fps,frame_index,method,blind_sigma_dn,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_reference_dn,gradient_mae_to_temporal_reference
Video_exposure_180ms_w1920_h1200_pMono10_f6.raw,6,10,blind_bm3d,3.914903,544.325623,0.695412,1.543442,6.391759
Video_exposure_180ms_w1920_h1200_pMono10_f6.raw,6,10,ptc_vst_bm3d,3.914903,544.322449,0.143697,1.716910,8.367122
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,input,3.195127,515.339966,4.013209,3.027247,10.301450
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,3.195127,515.338562,2.026738,0.000000,0.000000
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,blind_bm3d,3.195127,515.343506,1.189665,1.484525,5.391429
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,ptc_vst_bm3d,3.195127,515.343201,0.127681,1.632183,7.903278
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,input,3.155296,437.235626,3.641591,2.801758,9.609389
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,3.155296,437.234650,1.762712,0.000000,0.000000
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,blind_bm3d,3.155296,437.239624,0.739978,1.312950,5.069520
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,ptc_vst_bm3d,3.155296,437.237274,0.094245,1.449071,7.048141
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,input,1.049006,101.159431,1.158367,0.977444,3.719103
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,1.049006,101.157875,0.354493,0.000000,0.000000
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,blind_bm3d,1.049006,101.158699,0.104968,0.318224,1.157853
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,ptc_vst_bm3d,1.049006,101.156273,0.007307,0.306591,1.454518
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,input,3.152609,429.174622,3.584175,2.776231,9.530924
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,3.152609,429.172882,1.723440,0.000000,0.000000
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,blind_bm3d,3.152609,429.179657,0.673875,1.292140,5.022334
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,ptc_vst_bm3d,3.152609,429.176270,0.093114,1.421152,6.910577
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,input,3.193272,479.084167,3.846753,2.926138,9.976550
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,3.193272,479.082672,1.925842,0.000000,0.000000
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,blind_bm3d,3.193272,479.086853,0.952040,1.405752,5.274765
