file,fps,frame_index,method,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_mean_dn
Video_20260712153400208_w1920_h1200_pMono10_f6.raw,6,0,temporal_trimmed_mean,730.84729,2.56185,0.00000
Video_20260712153400208_w1920_h1200_pMono10_f6.raw,6,0,vst_bm3d,730.82263,0.16026,3.71487
Video_20260712153400208_w1920_h1200_pMono10_f6.raw,6,0,vst_nlm,730.91321,0.00018,3.91557
Video_20260712153400208_w1920_h1200_pMono10_f6.raw,6,51,input,773.34949,7.98579,6.23535
Video_20260712153400208_w1920_h1200_pMono10_f6.raw,6,51,temporal_trimmed_mean,773.34167,2.67962,0.00000
Video_20260712153400208_w1920_h1200_pMono10_f6.raw,6,51,vst_bm3d,773.30139,0.18677,2.53317
Video_20260712153400208_w1920_h1200_pMono10_f6.raw,6,51,vst_nlm,773.20697,0.00018,2.80301
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,0,input,942.10931,8.94475,8.02839
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,0,temporal_trimmed_mean,942.10358,3.15926,0.00000
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,0,vst_bm3d,942.08063,0.25495,4.75555
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,0,vst_nlm,942.05640,0.00018,4.94264
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,50,input,957.49603,9.07442,6.97376
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,50,temporal_trimmed_mean,957.49054,3.18794,0.00000
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,50,vst_bm3d,957.47119,0.26332,2.90487
Video_20260712153442283_w1920_h1200_pMono10_f5.raw,5,50,vst_nlm,957.43054,0.00109,3.19086
