mean_dn,variance_dn2,variance_mean_dn2,pixels,used_for_fit
26.40224139204987,3.7869388853830097,3.8114624800348627,174840,True
48.84113166218793,6.176970235093892,6.138122805999022,91698,True
55.1833964203481,7.03235675721337,7.117490849832051,49319,True
77.64283249834601,9.636433593339815,9.631735977690843,30263,True
98.38308559879069,11.855157121978197,11.871701168315415,33468,True
103.08280589096128,12.431595265925736,12.484716217806298,57130,True
131.54770159689429,16.402511162010466,16.46772148982329,508,True
136.15122564957645,16.695745844028153,16.788336925752027,27009,True
173.85287633666636,21.03651058060696,21.121375755770966,23515,True
181.6134415879353,21.405854433627276,21.453783765833442,4436,True
207.9632662837388,24.26323691495434,24.295800551517875,31318,True
219.85151755223563,25.6671977234954,25.720728219901645,49106,True
234.3192371415291,27.016329821903962,27.143092372902945,17157,True
254.67389211930993,29.322661973643413,29.78095740414093,60532,True
265.9908951930736,30.75303262940667,31.760187195489245,61684,True
282.3443574673088,32.73932273957777,34.85447329190416,18652,True
302.6688232719801,34.882251948534375,34.98095550314312,17150,True
316.49235675846575,35.961781831401154,36.024036961939515,58554,True
329.2084632872836,37.47822753765561,37.53136493893048,36225,True
350.2606596213943,39.71626576150323,39.75506450217271,16578,True
364.978384881883,41.08398054524048,41.14245936752067,27033,True
381.3477794254231,42.81829180720153,42.859621955708,30103,True
396.04262046075513,44.416708251270094,44.49772168744804,43200,True
410.27209763680423,45.97464053990605,46.033057135345665,38540,True
427.38109817657204,47.77693908652207,47.8296557023254,27821,True
445.8215012666227,49.56281870853257,49.625303798166,31835,True
460.58359230738824,51.01366192677,51.0902997021795,55685,True
475.63838568293966,52.62150659402749,52.713499847847146,67307,True
492.0532278453442,54.786315289972066,54.91049621124854,61729,True
508.15208513097934,58.410509626956674,58.52086500280674,92720,False
524.1202183194457,58.62126807898015,58.71476220529552,72768,True
537.1069757239727,58.97141592875794,59.03758173720776,31734,True
554.7303321731868,60.5684543497659,60.664571760966886,10934,True
571.9990155147552,62.217469949120876,62.32870018813762,7509,True
588.6545897879794,63.794294791849886,63.92772509641267,9132,True
603.4590911894804,65.37553755871885,65.49274186271381,7712,True
619.5925951706886,66.79223322717993,66.90799389202839,5198,True
637.082305958068,68.37571082684372,68.51326858340454,6077,True
651.7619253543697,70.26938656815537,70.41868017647295,8463,True
667.4425825093906,72.06919729006184,72.14105614492851,6941,True
684.615493452453,73.87374092780792,74.05057088568088,6583,True
700.7568099870557,75.27071889101921,75.33809284051343,9765,True
714.9410082543662,76.8667509675026,76.96813169441707,13169,True
732.3511813339632,79.2116687449249,79.30980916598791,8255,True
748.237388615496,81.33041679204047,81.40016792689944,8787,True
763.8036670794216,83.19136396995536,83.37287946812641,9766,True
779.7339536531048,84.9654365002572,85.15265444811351,8470,True
795.4211607544346,86.6959329542813,86.77274655547903,6221,True
812.4479593278238,88.3696314572214,88.39076185706938,5773,True
827.9819315299584,89.89043988311613,89.98576710431527,6321,True
844.0669238052112,91.53012594006083,91.62552735075964,6417,True
859.6754934004816,93.64381523411554,93.6517340078392,5885,True
876.035739816201,94.75312901187587,94.86006451850538,4595,True
891.0655359507643,96.280712080861,96.3035985632631,3753,True
908.3831261942663,98.56047440074585,98.5067844669345,3120,True
924.1601745274121,101.21771362407787,101.29748291083295,3297,True
940.2025376595154,102.86446015920725,102.92100574147632,3885,True
