file,fps,frame_index,method,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_mean_dn
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,input,101.15943,1.15837,0.91256
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,101.15788,0.34624,0.00000
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,vst_bm3d,101.15627,0.00731,0.29781
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,vst_nlm,101.04209,0.00001,0.70734
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,input,429.17462,3.58418,2.59215
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,429.17297,1.70883,0.00000
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,vst_bm3d,429.17627,0.09311,1.40136
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,vst_nlm,429.16763,0.00005,1.87503
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,input,479.08417,3.84675,2.73164
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,479.08286,1.90892,0.00000
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,vst_bm3d,479.08688,0.11551,1.53569
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,vst_nlm,479.11212,0.00009,2.03517
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,input,524.59241,4.06343,2.85610
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,temporal_trimmed_mean,524.59070,2.05841,0.00000
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,vst_bm3d,524.59473,0.12662,1.65519
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,vst_nlm,524.54956,0.00009,2.17849
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,input,122.44786,1.41691,1.09903
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,122.44641,0.44395,0.00000
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,vst_bm3d,122.44491,0.01080,0.38005
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,vst_nlm,122.48455,0.00001,0.75191
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,input,708.37268,4.85906,3.28560
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,temporal_trimmed_mean,708.37109,2.68138,0.00000
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,vst_bm3d,708.37750,0.22758,2.09050
Video_exposure_400ms_w1920_h1200_pMono10_f2.raw,2,10,vst_nlm,708.48566,0.00018,2.73019
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,input,141.18237,1.61313,1.24445
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,141.18083,0.52873,0.00000
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,vst_bm3d,141.18037,0.01375,0.45075
Video_exposure_40ms_w1920_h1200_pMono10_f20.raw,20,10,vst_nlm,141.26993,0.00002,0.82696
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,input,158.68500,1.77339,1.36658
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,158.68327,0.59817,0.00000
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,vst_bm3d,158.68248,0.01640,0.51351
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,vst_nlm,158.55408,0.00000,0.89140
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,input,175.58897,1.92292,1.47544
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,temporal_trimmed_mean,175.58716,0.66821,0.00000
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,vst_bm3d,175.58632,0.02009,0.57302
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,vst_nlm,175.30548,0.00002,0.95606
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,input,206.82179,2.18401,1.65020
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,temporal_trimmed_mean,206.82011,0.80160,0.00000
